"word","freq"
"cafeterías",1
"camión",1
"carritos",1
"cuidar",1
"deteriorando",1
"lejos",1
"parqueo",1
"proveedores",1
"restringir",1
"utilizada",1
"vialmil",1
"priorizaron",1
"acústico",1
"aprobación",1
"butacos",1
"cansados",1
"continuamente",1
"franky",1
"haciéndose",1
"importe",1
"obligados",1
"olor",1
"polideportivo",1
"posturales",1
"pésimas",1
"reacio",1
"rodríguez",1
"rogar",1
"seguimos",1
"sindú",1
"tratan",1
"bodegas",1
"can",1
"condena",1
"continuamos",1
"improvisados",1
"indolencia",1
"infrahumanas",1
"plásticas",1
"polideportivos",1
"segunda",1
"validas",1
"vivimos",1
"demolido",1
"empiece",1
"pasando",1
"ingresas",1
"acomplejados",1
"agresivo",1
"aleman",1
"amortegui",1
"augusto",1
"casas",1
"chaparro",1
"corrupcion",1
"electricos",1
"ensayos",1
"fabio",1
"feas",1
"fernando",1
"francisco",1
"funcionaris",1
"herrera",1
"hipocritas",1
"javier",1
"levitan",1
"mayoria",1
"peor",1
"rogadera",1
"servirle",1
"uish",1
"aeroespacial",1
"andan",1
"apagado",1
"arriendo",1
"att",1
"bandera",1
"cajeros",1
"carros",1
"comités",1
"confiterías",1
"decanos",1
"desear",1
"educadas",1
"electrónicos",1
"energía",1
"escribiré",1
"fea",1
"festival",1
"fomentan",1
"funcionarias",1
"galardonen",1
"ganan",1
"gómez",1
"himno",1
"imprime",1
"investigacion",1
"izadas",1
"limpian",1
"llamaban",1
"luces",1
"lámparas",1
"malas",1
"manaja",1
"ministros",1
"motivar",1
"másm",1
"noche",1
"ocurren",1
"opr",1
"organigrama",1
"pasajes",1
"periodismo",1
"petulantes",1
"premios",1
"prendidas",1
"presentación",1
"pretenciosas",1
"propagandas",1
"pérdidad",1
"rendicion",1
"resentimiento",1
"vagancia",1
"viales",1
"informa",1
"aquí",1
"diario",1
"diríamos",1
"década",1
"encontramos",1
"laboramos",1
"peligro",1
"arreglarlo",1
"gutierrez",1
"prácticamente",1
"allá",1
"aplicó",1
"pagué",1
"reembolsa",1
"compromete",1
"cruiser",1
"cuesta",1
"dodge",1
"escogió",1
"land",1
"minas",1
"previamente",1
"referencia",1
"sostenible",1
"toyota",1
"txl",1
"vehículo",1
"afrocolombianos",1
"aplican",1
"decididamente",1
"discapcitados",1
"fundamentales",1
"indígenas",1
"lgbti",1
"manifestaciones",1
"minoritarias",1
"poblaciones",1
"vulnerables",1
"articularse",1
"avanzado",1
"centro",1
"inaugurado",1
"llamada",1
"transformación",1
"aledaño",1
"iguaná",1
"lote",1
"pertenece",1
"perteneció",1
"recuperarlo",1
"cuestiono",1
"disponemos",1
"hablando",1
"labor",1
"miembros",1
"notifica",1
"sospechosa",1
"superpasiva",1
"uds",1
"adoptado",1
"flexibilizar",1
"prestación",1
"confiable",1
"asesores",1
"deberían",1
"duró",1
"extrañan",1
"originadas",1
"quejas",1
"reclamos",1
"respeusta",1
"ayerconsidero",1
"causado",1
"comportamiento",1
"comunicados",1
"desradicalizar",1
"disturbio",1
"escuetos",1
"manifestando",1
"muestra",1
"pensaría",1
"protesta",1
"reconocimiento",1
"violenta",1
"violento",1
"conductas",1
"enormente",1
"epidemiología",1
"establecidos",1
"estamento",1
"reglamentacióen",1
"aumentado",1
"inoperancia",1
"otic",1
"renuncia",1
"aula",1
"responde",1
"abril",1
"cancelacion",1
"formato",1
"burocráticas",1
"campeadoras",1
"concretos",1
"costaron",1
"costobeneficio",1
"lógica",1
"mejoramientos",1
"muchísimas",1
"respondieran",1
"significativo",1
"soportados",1
"soportaron",1
"supone",1
"ecuaciones",1
"habilitarán",1
"practicar",1
"tableros",1
"tranquilamente",1
"urge",1
"aprovecho",1
"comfie",1
"detallada",1
"eliminación",1
"reemplazar",1
"repetidas",1
"solicitado",1
"subsanar",1
"anuales",1
"destinarse",1
"exigen",1
"incentivo",1
"mesa",1
"podrìa",1
"representantes",1
"sindicalizados",1
"urgencia",1
"antenas",1
"atractivo",1
"celular",1
"contrato",1
"instaladas",1
"largo",1
"liq",1
"pararayos",1
"torneos",1
"apropiados",1
"campaña",1
"claro",1
"cosideran",1
"desaparición",1
"fundamental",1
"problemáticas",1
"progama",1
"rendicióin",1
"suele",1
"verse",1
"constrictivo",1
"convertirse",1
"convirtió",1
"deje",1
"omnipresente",1
"respeta",1
"basado",1
"entidades",1
"lleve",1
"voluntad",1
"cuántas",1
"dictaron",1
"basicas",1
"lectoescritura",1
"matematicas",1
"nivelatoria",1
"aprox",1
"becarios",1
"causa",1
"diez",1
"ofertadas",1
"reciban",1
"arreglado",1
"intervenida",1
"regulares",1
"absolutamente",1
"arrebatar",1
"boca",1
"cancelará",1
"concretas",1
"dárselo",1
"inequitativa",1
"minoría",1
"obligar",1
"pan",1
"pirrica",1
"posgradual",1
"sobrevivir",1
"superada",1
"termine",1
"trabajan",1
"agregar",1
"deportes",1
"horario",1
"exámen",1
"anual",1
"digitales",1
"dninfoa",1
"alimenticios",1
"ampliación",1
"amplio",1
"beneficiados",1
"devolver",1
"prestada",1
"entendible",1
"haber",1
"ocurrira",1
"posterioermente",1
"presenten",1
"reflejados",1
"solicitamos",1
"verán",1
"índole",1
"aestudiante",1
"apoyando",1
"banco",1
"cobra",1
"controlada",1
"controlan",1
"descaradamente",1
"destruye",1
"disminucion",1
"educion",1
"endeudando",1
"endeudandolos",1
"estudinates",1
"expongo",1
"hepagado",1
"injusto",1
"istitucion",1
"libre",1
"mecanica",1
"mensuales",1
"pra",1
"promover",1
"reflejado",1
"robando",1
"solicite",1
"brindarle",1
"dispensadores",1
"fácil",1
"incómodo",1
"muchísima",1
"nosotoros",1
"vital",1
"carácter",1
"corrientes",1
"distintivo",1
"jefes",1
"subalternos",1
"transmitida",1
"acude",1
"basuras",1
"bienestrar",1
"dedicado",1
"espectáculo",1
"genera",1
"informales",1
"mayorías",1
"minorías",1
"ocupar",1
"primar",1
"proliferación",1
"santander",1
"triste",1
"video",1
"vigilantes",1
"visual",1
"descarga",1
"financiera",1
"portal",1
